T,M,Time
1,1,0.017479
1,10,0.029509
1,20,0.039890
1,30,14.647067
1,40,0.658884
1,50,2.557665
1,100,38.003292
10,1,0.133438
10,10,0.088563
10,20,0.050216
10,30,0.066091
10,40,0.090985
10,50,0.078187
10,100,0.075030
20,1,0.140657
20,10,0.130522
20,20,0.090491
20,30,0.083045
20,40,0.051782
20,50,0.126296
20,100,0.162336
