T,M,Time
1,1,0.004625
1,10,0.009395
1,20,0.048800
1,30,0.072186
1,40,0.019574
1,50,0.033359
1,100,0.070228
10,1,0.002383
10,10,0.012902
10,20,0.092259
10,30,0.029792
10,40,0.024249
10,50,0.005742
10,100,0.074460
20,1,0.002982
20,10,0.089092
20,20,0.015194
20,30,0.008364
20,40,0.011884
20,50,0.064354
20,100,0.009290
