T,M,Time
1,1,0.421262
1,10,15.989805
1,20,30.128876
1,30,43.95199
1,40,50.116707
1,50,60.34234
1,100,60.338255
10,1,0.21592
10,10,1.86404
10,20,3.337221
10,30,4.723833
10,40,5.352445
10,50,6.58469
10,100,6.535106
20,1,0.215276
20,10,1.106958
20,20,1.867649
20,30,2.513671
20,40,2.910448
20,50,3.671512
20,100,3.73269
